,document,topic,gamma
561,87362456,1,0.665398091
562,87751158,1,0.90392868
563,88864246,1,0.438497782
564,90156375,1,0.550205879
565,91298670,1,0.616854597
566,92793575,1,0.778083287
567,95139265,1,0.723776018
568,96937105,1,0.441774347
569,41072538,1,0.604785392
570,41786207,1,0.622392515
571,42188022,1,0.927694368
572,45056831,1,0.501068615
573,49076604,1,0.717831629
574,49816163,1,0.746831637
575,50431441,1,0.694175509
576,50522134,1,0.473581416
577,52544618,1,0.942664958
578,54883752,1,0.449311254
579,62417171,1,0.604771086
580,62835909,1,0.441068992
581,65297911,1,0.615778517
582,66698988,1,0.871107597
583,67541739,1,0.732068601
584,68312716,1,0.784405452
585,69259171,1,0.730066128
586,69860705,1,0.637295621
587,70349469,1,0.817389872
588,74728017,1,0.627118882
589,76006564,1,0.515439977
590,76800226,1,0.824337486
591,79072528,1,0.844958939
592,80004606,1,0.917548926
593,80287795,1,0.720859566
594,85150375,1,0.777712073
595,86538127,1,0.513347412
596,86909529,1,0.986234047
597,88944013,1,0.900435146
598,89350030,1,0.77968626
599,93374823,1,0.677127714
600,93400712,1,0.67964013
601,93827476,1,0.598223187
602,95019071,1,0.53786184
603,97087966,1,0.534664605
604,97394532,1,0.843675373
605,97704230,1,0.428697381
606,98667653,1,0.992130564
607,33176712,1,0.72755406
608,34072167,1,0.716758568
609,34443398,1,0.401812272
610,35728570,1,0.758350787
611,37543983,1,0.501694788
612,40212729,1,0.756771094
613,41873448,1,0.552920706
614,45302711,1,0.816942659
615,48566828,1,0.679599091
616,50043881,1,0.625038543
617,55370962,1,0.615671284
618,55378049,1,0.677740469
619,58491330,1,0.779796088
620,58982209,1,0.659235333
621,59271031,1,0.635474344
622,60898303,1,0.814582821
623,62775094,1,0.656173266
624,64942002,1,0.828549375
625,64945510,1,0.98273982
626,65066474,1,0.797230223
627,65587589,1,0.745928661
628,70610409,1,0.567565446
629,72081022,1,0.836383167
630,73148751,1,0.797007168
631,75278588,1,0.502220533
632,77959508,1,0.517135655
633,80382367,1,0.912135616
634,80807174,1,0.819422609
635,80966090,1,0.6168599
636,81528607,1,0.884924866
637,81692222,1,0.803867922
638,81921905,1,0.733490396
639,82985344,1,0.938641451
640,83871106,1,0.654086865
641,87753317,1,0.809259594
642,95809958,1,0.804684241
643,96273449,1,0.845702213
644,97234352,1,0.901024364
645,34244814,1,0.522888714
646,35348813,1,0.786584896
647,40095824,1,0.682475731
648,43818673,1,0.833976395
649,49821025,1,0.539601535
650,51214680,1,0.282269219
651,51218642,1,0.759933897
652,51223825,1,0.969055288
653,53768353,1,0.807219687
654,56082327,1,0.737580479
655,58193464,1,0.734345724
656,58278405,1,0.617554875
657,60730394,1,0.845035286
658,61533828,1,0.731604855
659,62695677,1,0.561623954
660,63655894,1,0.792192087
661,65908628,1,0.562423416
662,66118207,1,0.917695201
663,66494008,1,0.822746579
664,67154864,1,0.657277761
665,68698281,1,0.943260092
666,69259067,1,0.727134173
667,70431431,1,0.316160468
668,72502844,1,0.747989712
669,74077479,1,0.916308302
670,76426854,1,0.953774045
671,76897264,1,0.778694126
672,81139901,1,0.635714824
673,81933851,1,0.933504707
674,81977480,1,0.80693982
675,84833001,1,0.808282684
676,84884922,1,0.969960477
677,85779469,1,0.614143736
678,86350700,1,0.499166062
679,87382502,1,0.576892187
680,89576001,1,0.634914019
681,89962612,1,0.792398475
682,91428313,1,0.581647963
683,92545736,1,0.909502163
684,93106438,1,0.595947904
685,94000267,1,0.690966106
686,95014412,1,0.808568198
687,99546422,1,0.871847886
688,99687504,1,0.853414139
689,33710207,1,0.450171978
690,33820435,1,0.583095945
