,document,topic,gamma
452,69787866,1,0.657731564
453,69878055,1,0.812856047
454,71438504,1,0.657761514
455,71815967,1,0.81012342
456,72994602,1,0.718655715
457,73726781,1,0.595476346
458,73902520,1,0.707971881
459,74003107,1,0.758832371
460,74661342,1,0.555175903
461,75820978,1,0.685871716
462,75922154,1,0.791256479
463,75993674,1,0.727945684
464,76191239,1,0.700635653
465,76206898,1,0.767831113
466,76472321,1,0.623878615
467,76497679,1,0.809114483
468,76719643,1,0.929872018
469,77683035,1,0.695004743
470,80266885,1,0.56430189
471,82463093,1,0.341713548
472,89975678,1,0.732466498
473,90196715,1,0.760295348
474,90305881,1,0.930454887
475,12253298,1,0.384927401
476,12253299,1,0.384927401
477,12618344,1,0.529024541
478,12974567,1,0.315955967
479,14593608,1,0.283486693
480,15246848,1,0.447043205
481,17344807,1,0.642744506
482,17447562,1,0.497015097
483,17588262,1,0.492151086
484,18253669,1,0.322197702
485,18286935,1,0.375530117
486,20120080,1,0.26653573
487,20139646,1,0.390003969
488,20868896,1,0.524674474
489,20870955,1,0.312250277
490,21233216,1,0.751000033
491,21273568,1,0.346250026
492,22748381,1,0.590960651
493,22930660,1,0.780139068
494,23232533,1,0.804695189
495,23413960,1,0.81411457
496,23499393,1,0.824215744
497,24373335,1,0.815446036
498,25724671,1,0.760914727
499,26047670,1,0.664425246
500,26300588,1,0.859464844
501,26963037,1,0.918427835
502,28236118,1,0.871598843
503,28939454,1,0.758453213
504,29161294,1,0.786440322
505,31328887,1,0.767167887
506,31790704,1,0.801919857
507,37559188,1,0.666896075
508,39134791,1,0.837213517
509,39667767,1,0.946187807
510,44212528,1,0.884362396
511,45355177,1,0.881460208
512,46351553,1,0.858417199
513,49509308,1,0.880018776
514,50234549,1,0.897070922
515,51040318,1,0.942559428
516,52570620,1,0.528333613
517,54906363,1,0.933996651
518,55035333,1,0.895389982
519,55501407,1,0.939298882
520,55585698,1,0.701155937
521,55742806,1,0.417231385
522,56553427,1,0.897497138
523,58727005,1,0.627888649
524,58928946,1,0.369616035
525,59758876,1,0.894021055
526,60091497,1,0.857984177
527,60942861,1,0.915744763
528,61705653,1,0.946253156
529,62024071,1,0.248645967
530,64977744,1,0.719890851
531,66365808,1,0.963234402
532,67881124,1,0.426332922
533,69101315,1,0.888830739
534,69785512,1,0.881905201
535,75727158,1,0.876005248
536,76006862,1,0.934973815
537,77695177,1,0.812530323
538,77849773,1,0.809209983
539,78936258,1,0.299919172
540,82098226,1,0.352076916
541,92573956,1,0.485898861
542,12207408,1,0.356997148
543,12726308,1,0.360221376
544,12749456,1,0.439802834
545,12890528,1,0.626121409
546,12896251,1,0.359336897
547,12899607,1,0.326565797
548,12977047,1,0.357103473
549,17155437,1,0.510318838
550,17411806,1,0.528972617
551,17581088,1,0.646636773
552,18487261,1,0.303542265
553,19068786,1,0.518885741
554,20059199,1,0.372215428
555,20791447,1,0.352011587
556,20859901,1,0.470231812
557,21425374,1,0.445090111
558,22793333,1,0.380377728
559,23007362,1,0.429757533
560,26921281,1,0.518803913
561,28301450,1,0.40444691
562,29057212,1,0.614551406
563,31791457,1,0.637538131
564,36763671,1,0.908131379
565,36830261,1,0.652577937
566,38892445,1,0.537231409
567,39727837,1,0.598809769
568,40107355,1,0.894298811
569,40191947,1,0.441382058
570,40816115,1,0.613918725
571,41154659,1,0.380287346
572,44512230,1,0.605618976
573,45559509,1,0.658507943
574,45689269,1,0.438640981
575,54628777,1,0.625572116
576,54956065,1,0.367932311
577,56686309,1,0.768612955
578,69464370,1,0.586633989
579,71809454,1,0.659517821
580,71998590,1,0.517836043
581,72897732,1,0.752028375
582,74854679,1,0.584277264
583,75404760,1,0.239946012
584,92717266,1,0.385093086
585,94923617,1,0.250899953
586,452715,1,0.522199165
587,8406255,1,0.311950424
588,9718659,1,0.368477046
589,12112875,1,0.386566397
590,12402928,1,0.447292972
591,12405666,1,0.384228402
592,12734804,1,0.438344825
593,12830919,1,0.322008673
594,12890622,1,0.306936068
595,12952178,1,0.29063867
596,13318542,1,0.301146797
597,13343929,1,0.509290761
598,13438614,1,0.557154493
599,13944971,1,0.289794407
600,15157054,1,0.37425403
601,15555772,1,0.431357783
602,16899140,1,0.46939305
603,16937190,1,0.499108672
604,17123238,1,0.534068163
605,17593990,1,0.431307514
606,17857801,1,0.319055863
607,17862016,1,0.249757569
608,17884030,1,0.363149865
609,17910522,1,0.348775279
610,17959898,1,0.389486685
611,17996641,1,0.642129204
612,17996643,1,0.642129204
613,18210706,1,0.334655312
614,18348053,1,0.701132279
615,18887561,1,0.525371946
616,19000853,1,0.358286605
617,19619224,1,0.297835063
618,19816260,1,0.64531557
619,20514968,1,0.290488092
620,20799731,1,0.548780557
621,20857451,1,0.395285946
622,20970483,1,0.66992603
623,21088486,1,0.329939464
624,21289768,1,0.454306764
625,21607437,1,0.615152683
626,21618403,1,0.583851739
627,22106725,1,0.636552051
628,22772396,1,0.39055344
629,22869229,1,0.306959856
630,23200328,1,0.333762399
631,23767482,1,0.75557883
632,23815662,1,0.430736039
633,25723124,1,0.515121323
634,27521744,1,0.720159017
635,27531670,1,0.521467265
636,27581884,1,0.606776213
637,27747589,1,0.685596303
638,29155672,1,0.486601149
639,29356823,1,0.571820963
640,30048603,1,0.324837177
641,30101698,1,0.36513396
642,30636346,1,0.778576805
643,32214423,1,0.815640921
644,32975671,1,0.358131704
645,34619408,1,0.613497717
646,35998047,1,0.460252191
647,37316926,1,0.775463071
648,37685160,1,0.258034307
649,39245523,1,0.571247451
650,41347012,1,0.682793105
651,44112159,1,0.418904104
652,44473929,1,0.205569055
653,44865245,1,0.417621872
654,46365153,1,0.790982565
655,46397518,1,0.508347723
656,46397519,1,0.508347723
657,54218594,1,0.413997111
658,55219754,1,0.302543893
659,56460807,1,0.724697183
660,60178949,1,0.796885249
661,60269092,1,0.425701998
662,60853050,1,0.580023851
663,65499494,1,0.761957176
664,65691342,1,0.28608557
665,66449693,1,0.85684837
666,67143177,1,0.344007785
667,69216108,1,0.759617435
668,74311904,1,0.327109021
669,74909098,1,0.798828835
670,79508796,1,0.317183377
671,80121989,1,0.753883403
672,80340545,1,0.391597484
673,80810095,1,0.727334792
674,82412758,1,0.690549623
675,82509839,1,0.877168839
676,82525059,1,0.782248597
677,83186628,1,0.789013954
678,83811670,1,0.78870021
679,83880140,1,0.384442984
680,84678293,1,0.511931297
681,84684218,1,0.863621476
682,86162609,1,0.751045591
683,87202652,1,0.493835095
684,87488415,1,0.40783133
685,87496652,1,0.842044693
686,88248394,1,0.351623588
687,88929658,1,0.375305547
688,91762411,1,0.748940465
689,92596970,1,0.895085252
690,94813178,1,0.738491925
691,95883888,1,0.443868445
692,96063041,1,0.373315318
693,96552683,1,0.391383584
694,4201102,1,0.324948977
695,5752367,1,0.277989495
696,7260956,1,0.367233197
697,8896755,1,0.356324481
698,11108723,1,0.271627087
699,12042957,1,0.305581062
700,12392210,1,0.566206144
701,12579777,1,0.397022996
702,12750400,1,0.615963181
703,12787965,1,0.276640645
704,12841955,1,0.592924508
705,12874179,1,0.304516202
706,13003116,1,0.679216537
707,13003203,1,0.720137954
708,13270962,1,0.700087477
709,13279234,1,0.696318227
710,13474736,1,0.438452994
711,16615146,1,0.306349462
712,16735589,1,0.269722773
713,16736207,1,0.371361118
714,16803500,1,0.380747758
715,16859973,1,0.380346571
716,16862844,1,0.362331248
717,16902864,1,0.38243515
718,17233187,1,0.36749198
719,17234569,1,0.261442381
720,17413500,1,0.417508313
721,17596111,1,0.379145982
722,17759781,1,0.423059365
723,17787061,1,0.289589564
724,17794432,1,0.261954644
725,17931601,1,0.529597559
726,18490093,1,0.341572346
727,18493014,1,0.388709676
728,18553178,1,0.336035559
729,18589894,1,0.653918316
730,18852561,1,0.243269232
731,18998205,1,0.307550375
732,19041188,1,0.270678242
733,19111644,1,0.715255086
734,19155422,1,0.21043827
735,19279042,1,0.52029196
736,19280066,1,0.648733367
737,19428464,1,0.427474389
738,19665606,1,0.523638662
739,19714381,1,0.446285612
740,19774927,1,0.673897606
741,20164314,1,0.417415215
742,20386079,1,0.464466636
743,20545046,1,0.357204264
744,20764476,1,0.476705313
745,20844838,1,0.440649293
746,21014707,1,0.509773412
747,21224695,1,0.324721984
748,21248403,1,0.289289188
749,21289185,1,0.458487398
750,21341815,1,0.229742681
751,21355814,1,0.610511731
752,21525708,1,0.550516201
753,21844432,1,0.521523664
754,23048367,1,0.36850419
755,23135965,1,0.57401953
756,23163389,1,0.467285488
757,23167686,1,0.395590416
758,23664802,1,0.405369591
759,23839867,1,0.348587751
760,23840002,1,0.199925086
761,24232554,1,0.869405983
762,24232555,1,0.869405983
763,24391853,1,0.422393761
764,24540032,1,0.55205444
765,25953623,1,0.352960838
766,26256786,1,0.349603548
767,26348160,1,0.360870795
768,26394058,1,0.358323562
769,26812484,1,0.320418354
770,28874205,1,0.568987405
771,31280544,1,0.469264117
772,32821361,1,0.424549782
773,34637784,1,0.497432285
774,34771284,1,0.733067201
775,35594059,1,0.371346928
776,36084219,1,0.234918223
777,37210367,1,0.50793184
778,37327882,1,0.406995776
779,38815933,1,0.207852875
780,39130471,1,0.324250202
781,40847986,1,0.416591466
782,42815331,1,0.368171362
783,47136002,1,0.404532385
784,47609441,1,0.330949631
785,48717206,1,0.378733256
786,51533649,1,0.66582238
787,51535642,1,0.259043947
788,52739818,1,0.370142307
789,54139739,1,0.380488619
790,54596155,1,0.366741181
791,55362067,1,0.36882872
792,56321704,1,0.415049584
793,58587356,1,0.480623723
794,59021853,1,0.511920099
795,60444176,1,0.542831378
796,60967524,1,0.28510757
797,61553897,1,0.463353269
798,65224603,1,0.578546667
799,69029700,1,0.683617109
800,72792439,1,0.2543135
801,74443713,1,0.433757183
802,79127346,1,0.608819727
803,79677633,1,0.487087999
804,79688405,1,0.353343521
805,84105135,1,0.468222066
806,84477082,1,0.236526193
807,84682670,1,0.392727066
808,85567065,1,0.289640239
809,88348329,1,0.40041971
810,89378376,1,0.61796442
811,91144929,1,0.422324407
812,94923970,1,0.515349523
813,95570496,1,0.27403177
814,95616349,1,0.434997366
815,99240812,1,0.344773827
816,99764831,1,0.394537149
817,2470916,1,0.206605202
818,3995018,1,0.452823186
819,4242697,1,0.568987405
820,4242704,1,0.568987405
821,4424980,1,0.351418243
822,5663076,1,0.340943643
823,6865011,1,0.568975504
824,8892580,1,0.326376992
825,9016598,1,0.235028888
826,9095178,1,0.288996412
827,9287225,1,0.23246918
828,9680037,1,0.390438028
829,12022099,1,0.613465381
830,12023724,1,0.346808868
831,12041509,1,0.642062962
832,12047210,1,0.216335148
833,12319373,1,0.406220293
834,12363335,1,0.44016685
835,12371265,1,0.475463193
836,12403456,1,0.305653412
837,12498325,1,0.357215796
838,12547873,1,0.471074676
839,12574042,1,0.62196626
840,12724189,1,0.44201258
841,12871758,1,0.525717303
842,12894037,1,0.479256528
843,13054100,1,0.378520402
844,13113810,1,0.715425173
845,13356943,1,0.291490373
846,13362128,1,0.387728588
847,13447087,1,0.255539005
848,13467258,1,0.446977465
849,13950965,1,0.568987405
850,14337247,1,0.496180014
851,16369574,1,0.200302074
852,16859859,1,0.349118225
853,16901997,1,0.577190831
854,17120448,1,0.767225951
855,17221329,1,0.540355263
856,17253572,1,0.359831505
857,17652669,1,0.306629718
858,17656251,1,0.402863321
859,17656981,1,0.382292766
860,17746761,1,0.469104831
861,17788721,1,0.433747564
862,17960996,1,0.384376785
863,18001860,1,0.483399864
864,18067699,1,0.337081729
865,18071463,1,0.492640527
866,18217359,1,0.437070383
867,18368179,1,0.394498456
868,18377522,1,0.314121419
869,18558913,1,0.519747841
870,18654039,1,0.348980792
871,18896270,1,0.514750341
872,19028965,1,0.302311968
873,19066761,1,0.468232843
874,19575037,1,0.325443571
875,19644251,1,0.75173656
876,19773879,1,0.472322304
877,19967477,1,0.311635803
878,19967549,1,0.40105312
879,20342848,1,0.389270227
880,20378815,1,0.281964515
881,20527026,1,0.218618338
882,20557000,1,0.435253963
883,20587233,1,0.36785533
884,20668585,1,0.306597398
885,20687943,1,0.636442151
886,20704363,1,0.261275586
887,20711387,1,0.341446597
888,20715118,1,0.568987405
889,20788210,1,0.395275804
890,20847856,1,0.326376992
891,20868346,1,0.380712072
892,21079688,1,0.302575541
893,21091416,1,0.281332612
894,21095010,1,0.490026835
895,21388410,1,0.413241638
896,21761269,1,0.273250053
897,21810826,1,0.374065227
898,21882857,1,0.285790801
899,22046361,1,0.385785487
900,22054849,1,0.252911743
901,23662418,1,0.471808999
902,23955724,1,0.317668781
903,24315198,1,0.263287171
904,25141477,1,0.326376139
905,25141716,1,0.326376139
906,25737503,1,0.515983251
907,25901943,1,0.326376992
908,25902198,1,0.326376992
909,27831013,1,0.326376992
910,28110321,1,0.53802517
911,29159667,1,0.238417118
912,32046037,1,0.492753291
913,33392198,1,0.326376139
914,34486059,1,0.34484895
915,34607517,1,0.243763846
916,34638509,1,0.222123744
917,34770933,1,0.551383347
918,34771407,1,0.463971504
919,34781888,1,0.226727355
920,34782089,1,0.326376139
921,34845465,1,0.415049573
922,34845899,1,0.226727368
923,35218828,1,0.463971874
924,35412218,1,0.427314796
925,35448066,1,0.326376992
926,35451404,1,0.461826779
927,35614667,1,0.461826779
