project_id,family_id,depth,stars,forks,active_forks,users_repo,users_also_in_family,age,followers_repo,followers_family,followers_outside,pr_repo,pr_family,pr_repo_comments,pr_family_comments,pr_repo_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_comments_repo,issue_comments_family,issue_comments_outside,issue_subscribed_repo,issue_subscribed_family,issue_subscribed_outside,issue_unsubscribed_repo,issue_unsubscribed_family,issue_unsubscribed_outside,issue_closed_repo,issue_closed_family,issue_closed_outside,issue_reopened_repo,issue_reopened_family,issue_reopened_outside,issue_referenced_repo,issue_referenced_family,issue_referenced_outside,issue_assigned_repo,issue_assigned_family,issue_assigned_outside,issue_mentioned_repo,issue_mentioned_family,issue_mentioned_outside,pr_mentioned_repo,pr_mentioned_family,pr_mentioned_outside,issue_mentioned_unique_repo,issue_mentioned_unique_family,issue_mentioned_unique_outside,pr_mentioned_unique_repo,pr_mentioned_unique_family,pr_mentioned_unique_outside,issue_repo_pos,issue_repo_neg,issue_family_pos,issue_family_neg,issue_outside_pos,issue_outside_neg,pr_repo_pos,pr_repo_neg,pr_family_pos,pr_family_neg,pr_repo_code_pos,pr_repo_code_neg,pr_family_code_pos,pr_family_code_neg
58514,58514,0,237,181,38,12,7,2711,6,4,4969,3,42,13,133,0,3,3,2,47,0,5,273,20,3,47,0,0,0,16,0,10,0,0,1,0,5,84,0,0,0,19,2,47,0,0,0,6,1,19,0,0,0,1.1667,-1.1667,1.125,-1,1.3171,-1.3506,1.4667,-1.0667,1.1346,-1.1587,1,-1,1,-1
59886,26259,1,0,0,0,3,2,2398,0,8,142,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.25,-1,1,-1,1,-1
60670,60670,0,22,180,56,28,14,3503,82,46,3164,12,75,15,159,1,30,0,0,12,0,0,65,16,0,28,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,16,0,28,0,0,0,5,0,6,0,0,0,1,-1,1,-1,1.3289,-1.3026,1.2667,-1,1.1789,-1.2,1,-2,1.1481,-1.0741
61025,61025,0,832,116,36,6,4,3112,0,4,388,0,67,0,60,0,2,1,12,97,2,29,297,5,3,6,0,0,0,69,1,22,2,0,4,2,2,0,0,0,0,4,3,5,0,0,0,4,1,5,0,0,0,1.25,-1,1.1538,-1.3269,1.3836,-1.2572,1,-1,1.2108,-1.0865,1,-1,1,-1
65753,5759,1,0,0,0,1,0,2283,0,0,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.6667,-1.1667,1,-1,1,-1
67118,67118,0,577,124,13,6,4,2501,2,1,327,3,25,1,62,0,20,33,2,70,259,13,335,112,8,74,0,0,0,78,1,8,4,0,1,7,0,0,18,0,0,105,8,70,0,0,0,43,4,39,0,0,0,1.3399,-1.3725,1.4706,-1.1765,1.274,-1.2436,1,-1,1.5868,-1.1983,1,-1,1.4211,-1.2632
68554,2992691,1,1,1,1,7,6,2416,1,4,386,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.4,-1,1,-1,1,-1
70355,70355,0,403,279,66,12,12,2491,3,0,512,2,91,17,228,0,2,15,18,127,39,65,288,24,13,48,0,0,0,78,2,17,7,0,0,18,6,1,8,0,0,24,13,48,0,2,2,19,9,38,0,2,1,1.4,-1.2,1.21,-1.17,1.3188,-1.1463,1.4,-1.3,1.3201,-1.1166,1,-1,1,-1
71896,46229,1,16,7,1,1,1,2519,0,2,34,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
72592,72592,0,96,94,44,17,13,2604,22,22,4710,9,114,10,460,4,170,26,6,52,96,29,190,63,9,32,0,0,0,59,2,6,2,0,0,11,0,0,14,0,1,62,9,31,62,15,3,39,5,26,26,7,2,1.2086,-1.1583,1.2195,-1.2195,1.2103,-1.1667,1.0417,-1.1667,1.3089,-1.1607,1.25,-1,1.1037,-1.061
